Tumor type	Proportion treatment related mutations	Total treatment related mutations	AGING	CAPECITABINE/5-FU	CARBOPLATIN	CISPLATIN	OXALIPLATIN
Urinary-tract	0.0436721922641635	656	461.661685583437	NA	NA	656.207245887032	NA
Urinary-tract	0.0765186262445464	1368	483.263211832751	0	NA	1368.40827854517	NA
Urinary-tract	0.14113342335671	3240	510.710097953485	NA	NA	3240.05451970638	NA
Urinary-tract	0.244602097470697	2379	239.48268561128	NA	NA	2379.0650601236	NA
Urinary-tract	0.060709327275022	481	252.569767771777	NA	NA	480.556757256138	NA
Urinary-tract	0.0588988476312421	690	417.965129906405	NA	486.249587423666	520.042400489641	NA
Urinary-tract	0.0185873605947955	265	456.224363196637	NA	NA	265.057244541497	NA
Urinary-tract	0.0506371157678603	1677	74.8333329629414	NA	NA	1676.73486881823	NA
Urinary-tract	0.00454701863048715	185	507.341289530891	NA	NA	184.731673269356	NA
Urinary-tract	0.0561449383638401	1503	375.989686992206	NA	NA	1503.3065080447	NA
Urinary-tract	0.0600199153597213	2411	379.39105553095	NA	NA	2411.87000736506	NA
Urinary-tract	0.0183327046397586	243	315.643839799353	NA	NA	242.02944546785	NA
Urinary-tract	0.10217856188185	1529	429.660109762125	NA	1072.05709387594	1306.79304739927	NA
Urinary-tract	0.0486864570138239	884	458.646186092681	NA	NA	883.786690163517	NA
Urinary-tract	0.0813274336283187	2757	369.861609966654	NA	NA	2756.26022950865	NA
Urinary-tract	0.0296373779637378	85	383.922523631317	NA	NA	84.6676518178076	NA
Urinary-tract	0.141133376427494	1310	1065.97715590716	NA	NA	1309.99224505702	NA
Urinary-tract	0.0624281545671589	1412	296.386048665613	NA	NA	1412.16481419095	NA
Urinary-tract	0.116082735331363	1375	570.974148004364	NA	NA	1375.1076145635	NA
Urinary-tract	0.0587067146580613	946	586.648891849717	NA	789.643935406602	758.32817937943	NA
Urinary-tract	0.0972381316023928	1528	635.734268836677	NA	NA	1527.65370892259	NA
Urinary-tract	0.342003146303094	3261	458.610647815171	NA	2416.3588477345	2999.61198054838	NA
Uterus	0.228447384742609	2210	771.518592829989	NA	NA	2210.55376915369	NA
Uterus	0.260381211708645	1530	289.594774167227	NA	NA	1530.66805727819	NA
Uterus	0.100269179004038	447	490.586165495603	NA	NA	447.588605955404	NA
Uterus	0.17177229319112	2770	699.982426277609	NA	1971.33148784422	2517.25111080557	NA
Uterus	0.124484348459112	1026	474.979541587392	NA	783.68442150345	661.069250934833	NA
Uterus	0.0362705447035539	1686	1580.71101162322	NA	NA	1685.95290556169	NA
Uterus	0.307744565217391	3171	411.0579914889	NA	2399.78242868611	2213.94228533146	NA
Uterus	0.155088992569552	1795	429.833232794564	NA	NA	1795.11592421182	NA
Uterus	0.177871686515559	1852	654.667350055219	NA	NA	1852.30215555946	NA
Uterus	0.0485929033385772	834	734.373440230524	NA	518.908070732622	640.028014114249	NA
Uterus	0.105859773286151	1765	463.239070905738	NA	1154.53263206897	1565.45015471486	NA
Uterus	0.299478539911753	3733	382.031901173617	NA	NA	3733.0677830172	NA
Uterus	0.127067761303762	1037	482.53301394068	NA	792.592117270497	664.032256561034	NA
Uterus	0.0252279157497642	1284	1440.10405309448	NA	398.970135406165	1283.67254010974	NA
Lung	0.0138323484351062	1580	0	NA	NA	1579.99793267016	NA
Lung	0.00834624261009768	528	0	NA	NA	528.17285471945	NA
Lung	0.00802031813928619	540	0	NA	405.887400422569	539.901097203604	NA
Lung	0.109221679938351	6378	0	NA	NA	6378.26686579137	NA
Lung	0.0107664132304789	582	0	NA	401.08411469432	581.995190126617	NA
Lung	0.0071845395983327	474	0	NA	NA	473.932298979022	NA
Lung	0.0012445837558772	81	0	NA	9.26132779160072E-092	80.6899817064489	NA
Lung	0.0306639713885866	1972	0	NA	1574.54427335706	1971.20302442866	NA
Lung	0.0173741362290227	1056	0	NA	NA	1056.2491653121	NA
Lung	0.125003451608449	13581	0	NA	NA	13581.2567084336	NA
Lung	0.0167757451506072	851	0	NA	698.573927507552	850.409662270662	NA
Lung	0.0497755158273498	3071	0	NA	NA	3070.96734787201	NA
Lung	0.00354702245362837	218	0	NA	145.758931584436	217.960647521287	NA
Lung	0.00307892172783371	237	0	NA	NA	237.821016268087	NA
Lung	0.00440642820114048	442	0	NA	NA	441.237553920967	NA
Lung	0.00519893540238182	922	0	NA	NA	922.464408051618	NA
Lung	0.018983063577303	1011	0	NA	NA	1011.13107228769	NA
Lung	0.0356895792717439	2270	0	NA	NA	2270.3320203155	NA
Lung	0.00614382065832288	1401	0	NA	NA	1400.86652721012	NA
Lung	0.00578249995565567	326	0	NA	NA	325.098209690364	NA
Lung	0.000988248647273509	101	0	NA	NA	101.235159985532	NA
Lung	0.00383343251359692	277	0	NA	NA	276.799658603268	NA
Lung	0.00438700714716581	240	0	NA	NA	240.145607227976	NA
Lung	0.00371431050941595	214	0	NA	NA	213.37851073552	NA
Lung	0.00959262135186834	1013	0	NA	NA	1013.69068754587	NA
Lung	0.0213626995231003	1420	0	NA	NA	1420.02482388299	NA
Lung	0.00991610861726397	539	0	NA	353.785287501982	538.746469228866	NA
Lung	0.107203508598374	6502	0	NA	5294.57945551309	6501.72493811103	NA
Lung	0.0127791606773481	729	0	NA	NA	728.780519791254	NA
Lung	0.0207307099792693	1090	0	NA	NA	1090.17038734786	NA
Lung	0.0067616517749336	588	0	NA	NA	587.565041797509	NA
Lung	0.00519303915965393	527	0	NA	315.879713920266	526.710542508051	NA
Lung	0.0285086301635529	2646	0	NA	NA	2645.8337182526	NA
Lung	0.00936262401854587	1357	0	NA	NA	1356.3557630305	NA
Lung	0.0250709243253942	1520	0	NA	NA	1519.34971944976	NA
Lung	0.00594297868347382	380	0	NA	NA	380.056681548299	NA
Lung	0.0575457252948797	3420	0	NA	NA	3420.23215720891	NA
Lung	0.0572139303482587	3427	0	NA	NA	3426.22216597414	NA
Breast	0	0	264.287617508721	NA	0	0	NA
Esophagus	0	0	0	NA	0	0	NA
Urinary-tract	0.0974255319148936	4579	852.535396182774	NA	3132.93541252222	4578.87668599305	NA
Urinary-tract	0.0600096887489404	2973	494.419994890262	NA	NA	2972.51470898155	NA
Urinary-tract	0.0204373018112995	1231	473.561205274787	NA	NA	1230.62358105923	NA
Urinary-tract	0.0309319980617025	1915	0.00000000000103175788715315	NA	NA	1915.45736168803	NA
Uterus	0	0	484.637242754048	NA	NA	0	NA
Breast	0.0868604086914326	1611	262.397613651688	100.454217481553	1510.96963005968	NA	NA
Breast	0.0124836195599697	181	99.8229666354988	NA	180.994437093591	NA	NA
Breast	0.303631181063329	2450	716.658078962464	NA	2449.21921230592	NA	NA
Breast	0.022	99	301.432320936736	25.8007799168028	72.2797579123677	NA	NA
Breast	0.032453637660485	91	377.468497699952	NA	91.8239947698188	NA	NA
Breast	0.018267602225986	151	315.025079728935	NA	151.846064311313	NA	NA
Breast	0.0138438243564785	64	306.118678290245	NA	64.124801059864	NA	NA
Breast	0.0420609884332282	320	553.488197600517	4.56193639148101	314.683583169002	NA	NA
Breast	0.00730178627389532	233	191.419502463486	45.7952284104143	187.515172041909	NA	NA
Breast	0.0714751958224543	438	454.382822038955	NA	437.740821478214	NA	NA
Breast	0.0958498023715415	485	252.883185058081	NA	485.157643015847	NA	NA
Breast	0.0516663380003944	262	252.00668920713	NA	262.236638250464	NA	NA
Breast	0.0431211498973306	126	248.907334968429	6.96627429751397	119.397492875048	NA	NA
Breast	0.0238913716053627	278	260.387506710239	NA	278.194699621589	NA	NA
Breast	0.0234534330387492	207	366.437326591445	93.5665668740797	113.473676697465	NA	NA
Breast	0.0501437240498243	157	547.615432202912	9.83011139426525	146.4606807328	NA	NA
Breast	0.0350703388151377	531	164.817771536188	105.942740661011	424.819651702947	NA	NA
Breast	0.0596335096878175	1702	191.879707624021	118.073105838101	1584.01877919808	NA	NA
Breast	0.0154461202980193	255	428.642275431781	NA	255.196586316854	NA	NA
Breast	0.0270694389956846	207	786.768391643947	79.5669766619991	127.273700412808	NA	NA
Breast	0.0650932622763609	342	403.388462265572	NA	342.735365381453	NA	NA
Breast	0.0654803040774015	379	321.203510117519	194.409412795571	184.296842756473	NA	NA
Breast	0.0549656464709556	352	672.339257393774	55.0071989370521	297.93470021485	NA	NA
Breast	0.021244635193133	297	165.45031428525	NA	297.305012191176	NA	NA
Breast	0.176477499706262	1502	486.868873537749	51.6049139962996	1449.89112100283	NA	NA
Breast	0.0176462603502104	130	381.178711499176	NA	130.356800040651	NA	NA
Breast	0.113717421124829	829	220.142732839132	4.4e-323	828.341733502351	NA	NA
Breast	0.036248872858431	402	228.187014716325	NA	402.281351680874	NA	NA
Breast	0.00313782283369539	91	239.308827504171	NA	91.1323004440026	NA	NA
Breast	0.123146215533341	2242	708.302546620523	387.387883959079	1855.39413704466	NA	NA
Breast	0.0969330407322165	1811	257.960736408413	1461.46463896143	350.632303403522	NA	NA
Breast	0.0309245818870306	98	304.304593981973	25.0435541366108	72.3361298382899	NA	NA
Breast	0.099601593625498	2300	462.136401719118	230.440715759883	2070.30002099308	NA	NA
Breast	0.0464770654597041	1376	453.954096692311	48.8957885580749	1326.53100884504	NA	NA
Breast	0.0251734710343715	156	254.535917499343	36.3954002643559	120.399286592499	NA	NA
Breast	0.0101809176583889	148	327.051139101846	NA	148.64224348601	NA	NA
Breast	0.12787709178137	2239	888.141383946299	1965.30292789933	274.273719104938	NA	NA
Breast	0.0183204065258091	411	390.963804080252	NA	411.191147905021	NA	NA
Breast	0.068937150378414	419	528.433881948185	NA	419.057316878117	NA	NA
Breast	0.0522415709522045	1410	851.693955044758	132.324269322576	1277.99957212464	NA	NA
Breast	0.157778532608696	929	518.94378293498	NA	929.760345473889	NA	NA
Breast	0.0297780184082296	165	237.396666750067	11.5455301092127	152.945935572131	NA	NA
Breast	0.317845394736842	1546	174.775413823454	1369.54245600792	175.664293829251	NA	NA
Breast	0.0950258769407705	661	337.684467042166	NA	661.381618261479	NA	NA
Breast	0.0727767695099818	401	340.652000014505	2.4709014141629E-059	400.708445165636	NA	NA
Breast	0.0424710424710425	660	212.113477590571	NA	660.806129960502	NA	NA
Breast	0.00956233909525561	52	221.112384259921	NA	51.611163298639	NA	NA
Breast	0.0142857142857143	195	231.188774077655	NA	195.139182607988	NA	NA
Breast	0.240136965907399	1613	584.597456909068	22.1222294668082	1591.25175528616	NA	NA
Breast	0.0507779349363508	718	165.512622202639	124.80834480877	593.400606987369	NA	NA
Breast	0.012479793081151	193	326.605500230225	NA	192.221765340246	NA	NA
Breast	0.12288993923025	2184	850.001036743807	1922.3536675717	261.950174710253	NA	NA
Breast	0.0276330890791914	626	418.165251808463	212.045219076807	413.854138739233	NA	NA
Colon-Rectum	0.00696570728720147	91	1815.00083457836	NA	91.3976935313989	NA	NA
Colon-Rectum	0.0133802816901408	133	1402.96626189959	NA	132.939951845123	NA	NA
Esophagus	0.0789532543055245	1765	1232.11860841873	1324.00178836841	237.656564316437	NA	202.527937088369
Esophagus	0.0117214835549335	268	614.356817134417	NA	268.16882354635	NA	NA
Esophagus	0.00679063936481405	65	527.864944707817	NA	65.0051422486178	NA	NA
Esophagus	0.0104490884837706	282	247.211721621078	NA	282.187598347362	NA	NA
Esophagus	0.00773430391264786	238	430.966961403668	NA	238.482464500674	NA	NA
Esophagus	0.00807657792402034	135	313.443551773481	NA	135.072440749419	NA	NA
Esophagus	0.0629203781130704	2769	163.701691741632	2138.07435759622	307.04799153923	NA	323.527722754602
Esophagus	0.00839033775117572	157	846.761290610276	NA	157.018560054871	NA	NA
Esophagus	0.00838960507468795	82	1508.76147470161	NA	82.2892746119267	NA	NA
Esophagus	0.1184617062266	3259	830.43653415199	3036.3077523021	121.228892217073	NA	102.084304170383
Esophagus	0.0248984269194708	239	216.748750563332	58.1380359503211	99.2653713950843	NA	81.9842764014939
Esophagus	0.0114546550684696	133	889.515886453345	NA	133.099080001942	NA	NA
Esophagus	0.00657976799301485	211	637.861895899868	NA	210.778822623369	NA	NA
Esophagus	0.0105411624972162	142	690.995370523159	NA	142.008602421989	NA	NA
Esophagus	0.00305777001201267	84	668.674401635194	NA	83.8790469129117	NA	NA
Esophagus	0.0131930622689792	232	655.331265325425	NA	231.63482602128	NA	NA
Esophagus	0.00755574342174786	143	793.610126711853	NA	143.096490131847	NA	NA
Esophagus	0.0083302819480044	91	691.37911671998	NA	91.0695812387219	NA	NA
Esophagus	0.00500947738965611	111	827.159552943248	NA	111.034668855681	NA	NA
Esophagus	0.00600225084406653	96	1214.4688459042	NA	95.8905507565781	NA	NA
Esophagus	0.00777106852192176	148	1070.67114796543	NA	147.863043143301	NA	NA
Esophagus	0.0154537408945469	227	1332.76058907605	NA	226.926460853428	NA	NA
Esophagus	0.00785133303208315	139	721.117160155704	NA	139.053976942309	NA	NA
Esophagus	0.0103798822899946	97	860.303106061514	NA	96.6734489336652	NA	NA
Esophagus	0.00378498824822197	124	1206.59408148191	NA	123.956508541475	NA	NA
Esophagus	0.0622537431048069	711	162.450263977005	277.21585537851	125.218510019219	NA	309.184484231767
Esophagus	0.0126808649000163	156	774.950206522933	NA	155.720734920627	NA	NA
Esophagus	0.00427653221316869	169	972.399105657323	NA	168.858559386372	NA	NA
Esophagus	0.00750894962018685	172	1340.07504757974	NA	171.600648239019	NA	NA
Esophagus	0.00815103803817751	234	609.14945528365	NA	233.955616177655	NA	NA
Esophagus	0.0459421734795613	1152	1649.7270588019	564.247336065327	321.579600004867	NA	266.404459905494
Esophagus	0.00791096808795925	118	494.483066684675	NA	117.77344738105	NA	NA
Esophagus	0.0107573617298707	198	884.63253075933	NA	197.984302964729	NA	NA
Esophagus	0.0150341685649203	297	1060.06811165951	NA	296.919143069832	NA	NA
Esophagus	0.0361758564253062	641	302.159479531519	342.263236274499	91.1220903531533	NA	208.455549589172
Esophagus	0.0039197698177724	94	440.492397803771	NA	93.6932044077761	NA	NA
Esophagus	0.00736058552002329	177	1604.90866673971	NA	177.063898321244	NA	NA
Esophagus	0.0937380436168856	1470	863.691525784372	863.921026343281	249.410254495948	NA	356.647286973835
Esophagus	0.00849281201355188	371	1414.34885044158	NA	371.453489056582	NA	NA
Esophagus	0.0400602722643666	771	963.477464004121	496.246534357481	152.334795927123	NA	123.245339119362
Esophagus	0.0976967177389614	2914	152.000372575201	1683.036281228	311.984535053214	NA	918.772440783851
Esophagus	0.0345915737238937	1436	1400.76910080363	1034.87422987845	318.031605376743	NA	82.5205222577014
Lung	0.0140845070422535	117	1262.13648277525	NA	117.491544288622	NA	NA
Lung	0.00327263865195139	94	160.91956930416	NA	94.4772534863068	NA	NA
Lung	0.00417962179519853	164	92.4064673641864	0	164.294905814	NA	NA
Lung	0.00931580981832239	241	141.147085135557	NA	241.013371514521	NA	NA
Lung	0.000961328381035613	22	138.031027740102	NA	21.6726393422983	NA	NA
Lung	0.00445245054720957	131	145.132259794112	NA	131.061535979207	NA	NA
Lung	0.00903614457831326	63	474.56707112392	NA	62.9212719892095	NA	NA
Lung	0.00569670730317877	150	130.006465025663	NA	149.794060663229	NA	NA
Lung	0.00401458633033354	120	291.0871729489	NA	119.944199779879	NA	NA
Lung	0.00276634505094123	82	175.4789333792	NA	81.7782707296512	NA	NA
Lung	0.00540952909355712	78	302.738705324121	NA	78.176880953698	NA	NA
Lung	0.00584725059073251	146	652.729788096237	NA	146.076424060863	NA	NA
Lung	0.00489156058462989	83	1002.63583360074	NA	82.6609840544703	NA	NA
Lung	0.00546011452923159	205	617.906927834393	NA	205.480641402964	NA	NA
Lung	0.00745863845945213	55	236.8324481953	NA	55.3225142923751	NA	NA
Lung	0.00548231715046266	173	191.544622967654	NA	173.4508527501	NA	NA
Lung	0.00707315127502859	266	285.422793199275	NA	265.662609448682	NA	NA
Lung	0.0170940170940171	82	195.365009322702	NA	82.2751823767953	NA	NA
Lung	0.00985957573946818	33	496.863643139645	NA	32.7782588128896	NA	NA
Lung	0.0278388278388278	228	339.14689379442	NA	227.556105661926	NA	NA
Lung	0.00769404842724598	102	1010.20438930639	NA	102.435844533104	NA	NA
Lung	0.0238649592549476	123	371.708402655626	NA	122.514071838711	NA	NA
Lung	0.00864888839607473	156	259.422901299867	NA	155.941867927018	NA	NA
Lung	0.00166321300032719	61	283.266950956627	NA	60.8777981560382	NA	NA
Lung	0.0161576595874901	264	311.247015238723	NA	264.327323360636	NA	NA
Lung	0.00427021948928175	100	402.579050264641	NA	99.5802808398278	NA	NA
Lung	0.00761971068306645	197	180.724891160979	NA	197.319175318575	NA	NA
Lung	0.0319620253164557	101	396.162536293745	NA	101.115529514319	NA	NA
Lung	0.00164675492412011	51	132.561799829094	NA	50.5161550466029	NA	NA
Lung	0.00634449244060476	47	349.836137683781	NA	47.0713361265998	NA	NA
Lung	0.00383581404498066	117	230.689585678914	NA	116.791294966394	NA	NA
Lung	0.00807126907331597	347	251.482366633789	NA	347.220337201136	NA	NA
Lung	0.00816139061616733	231	529.363689254499	NA	231.332729501546	NA	NA
Lung	0.0151386578866976	446	199.671239802081	NA	445.855289018765	NA	NA
Lung	0.0150753768844221	63	287.814906006705	NA	63.4777660138802	NA	NA
Lung	0.0044437531939476	200	71.3321171070687	NA	200.101272232253	NA	NA
Lung	0.00166547704020937	35	126.409385039388	NA	34.7979540379281	NA	NA
Lung	0.00533906106167536	87	359.298231107	NA	87.0842455104676	NA	NA
Ovary	0.0425508641435135	389	357.955303395454	NA	389.19703289841	NA	NA
Ovary	0.309981684981685	677	163.159457888329	NA	677.597698710167	NA	NA
Ovary	0.0430373163437785	662	354.159049287494	NA	661.842962443786	NA	NA
Ovary	0.153429113580916	566	197.595686969539	NA	566.619023002247	NA	NA
Ovary	0.0702517464083301	533	437.674366110898	NA	533.121524697794	NA	NA
Ovary	0.0279827244916322	311	332.413012355662	NA	311.175104415379	NA	NA
Ovary	0.100498866213152	1108	213.284518759369	NA	1107.4970704962	NA	NA
Ovary	0.0881889763779528	168	226.907493487888	NA	168.319197770128	NA	NA
Ovary	0.0173958882445967	165	237.000522098511	NA	165.409163415662	NA	NA
Ovary	0.0176651305683564	138	161.553803937479	NA	137.60469295871	NA	NA
Ovary	0.134727953171481	1404	97.3781205477544	NA	1404.21632080505	NA	NA
Ovary	0.0479398226114292	427	240.788009683571	NA	427.085269081553	NA	NA
Ovary	0.030818680279826	163	224.611119449847	NA	163.016709955845	NA	NA
Ovary	0.0211454680692806	199	175.612941713741	NA	199.123243528543	NA	NA
Ovary	0.236483171425768	2410	390.996653559962	NA	2409.35064530539	NA	NA
Ovary	0.0803308823529411	437	400.199644675003	NA	437.834576260473	NA	NA
Ovary	0.0353459591224451	377	283.323262568487	NA	377.018733995522	NA	NA
